FID,lat_start,lat_end,lon_start,lon_end,Shape_Leng
"87",-6.24147749,-6.27652121,106.7803374,106.7449056,0.0498344736576
"88",-6.19822204,-6.21022735,106.8410105,106.8499434,0.0149640960508
"89",-6.34454185,-6.34411377,106.5725814,106.5658683,0.006726735025
"90",-6.24214097,-6.22672757,106.8586393,106.8583911,0.0154153982368
"91",-6.35536453,-6.35279607,106.5117634,106.5079548,0.00459373712045
"92",-6.27062764,-6.26984638,107.179476,107.2609499,0.0814776457775
"93",-6.17007032,-6.17222706,106.6786449,106.6649543,0.0138594392309
"94",-6.44913672,-6.40448849,106.8023071,106.8171682,0.0470565270276
"95",-6.42165773,-6.40890469,106.8101951,106.8162326,0.0141099764528
"96",-6.16112019,-6.16716346,106.8277447,106.8304514,0.00662173218898
"97",-6.12787653,-6.1110765,106.8462847,106.8808381,0.0384210679218
"98",-6.16214117,-6.17469742,106.841666,106.8446179,0.0128985707609
"99",-6.34411377,-6.35536453,106.5658683,106.5117634,0.0552622819607
"100",-6.17692629,-6.1768793,106.631969,106.6356361,0.00366740105114
"101",-6.32443231,-6.3295281,106.6415743,106.619316,0.0228341628857
"102",-6.36005565,-6.33931731,106.8316955,106.8342358,0.0208933451139
"103",-6.17007032,-6.16925402,106.6786449,106.6834166,0.00484101916749
"104",-6.46358255,-6.45495566,106.913797,106.8009955,0.113130905085
"105",-6.22396003,-6.22067343,106.9789895,106.9657837,0.0136086330396
